iteracion,epoch,mh,tipo,lcoe_best,lcoe_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
144,4,ILS,trayectoria,0.2671595858011802,102.29468145637651,False,False,,,,,,,2,0,3,Llenando ventana
145,4,ILS,trayectoria,0.2671595858011802,0.2673367826336805,False,False,,,,,,,3,0,4,Llenando ventana
146,4,ILS,trayectoria,0.2671595858011802,0.2673367826336805,False,False,,,,,,,4,0,5,Llenando ventana
147,4,ILS,trayectoria,0.2671595858011802,0.2673367826336805,False,False,,,,,,,5,0,6,Llenando ventana
148,4,ILS,trayectoria,0.2671595858011802,0.2783478975818804,False,False,,,,,,,6,0,7,Llenando ventana
149,4,ILS,trayectoria,0.2671595858011802,0.2759689348794859,False,False,,,,,,,7,0,8,Llenando ventana
150,4,ILS,trayectoria,0.2671595858011802,0.2759689348794859,False,False,,,,,,,8,0,9,Llenando ventana
151,4,ILS,trayectoria,0.2671595858011802,0.27576200524517025,False,False,,,,,,,9,0,10,Llenando ventana
152,4,ILS,trayectoria,0.2671595858011802,0.2726971334765507,False,False,,,,,,,10,0,11,Llenando ventana
153,4,ILS,trayectoria,0.2671595858011802,0.2726971334765507,False,False,,,,,,,11,0,12,Llenando ventana
154,4,ILS,trayectoria,0.2671595858011802,0.2726971334765507,False,False,,,,,,,12,0,13,Llenando ventana
155,4,ILS,trayectoria,0.2671595858011802,102.90760812668317,False,False,,,,,,,13,0,14,Llenando ventana
156,4,ILS,trayectoria,0.2671595858011802,102.68418722957337,False,False,,,,,,,14,0,15,Llenando ventana
157,4,ILS,trayectoria,0.2671595858011802,102.40995940934837,False,False,,,,,,,15,0,16,Llenando ventana
158,4,ILS,trayectoria,0.2671595858011802,102.20367867964742,False,False,,,,,,,16,0,17,Llenando ventana
159,4,ILS,trayectoria,0.2671595858011802,102.01058635157624,False,False,,,,,,,17,0,18,Llenando ventana
160,4,ILS,trayectoria,0.2671595858011802,0.28636878998064313,False,False,,,,,,,18,0,19,Llenando ventana
161,4,ILS,trayectoria,0.2671595858011802,0.2823888403528612,False,False,,,,,,,19,0,20,Llenando ventana
162,4,ILS,trayectoria,0.2671595858011802,0.2823888403528612,False,False,,,,,,,20,0,21,Llenando ventana
163,4,ILS,trayectoria,0.2671595858011802,0.2823888403528612,False,False,,,,,,,21,0,22,Llenando ventana
164,4,ILS,trayectoria,0.2671595858011802,0.29109514102699013,False,False,,,,,,,22,0,23,Llenando ventana
165,4,ILS,trayectoria,0.2671595858011802,0.2841583041538825,False,False,,,,,,,23,0,24,Llenando ventana
166,4,ILS,trayectoria,0.2671595858011802,0.2841583041538825,False,False,,,,,,,24,0,25,Llenando ventana
167,4,ILS,trayectoria,0.2671595858011802,0.2841583041538825,False,False,,,,,,,25,0,26,Llenando ventana
168,4,ILS,trayectoria,0.2671595858011802,0.28362058034336546,False,False,,,,,,,26,0,27,Llenando ventana
169,4,ILS,trayectoria,0.2671595858011802,0.28362058034336546,False,False,,,,,,,27,0,28,Llenando ventana
170,4,ILS,trayectoria,0.2671595858011802,0.28362058034336546,False,False,,,,,,,28,0,29,Llenando ventana
171,4,ILS,trayectoria,0.2671595858011802,0.2867225595734892,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,29,0,30,Explotacion activa
172,4,ILS,trayectoria,0.2671595858011802,0.2867225595734892,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,30,0,31,Explotacion activa
173,4,ILS,trayectoria,0.2671595858011802,0.2867225595734892,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,31,0,32,Explotacion activa
174,4,ILS,trayectoria,0.2671595858011802,0.3067470437158396,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,32,0,33,Explotacion activa
175,4,ILS,trayectoria,0.2671595858011802,0.29921033975667716,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,33,0,34,Explotacion activa
176,4,ILS,trayectoria,0.2671595858011802,0.2916891415380105,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,34,0,35,Explotacion activa
